region,winery_name,latitude,longitude,url
"Cuyo, Argentina",Bodega Mauricio Lorca - Autor de Vinos,-33.06704,-68.89643,http://www.bodegafosterlorca.com/
"Cuyo, Argentina",Belasco de Baquedano,-33.11828,-68.91677,https://wineobs.com.ar/winery/belasco-de-baquedano
"Cuyo, Argentina",BODEGA SUR DE LOS ANDES,-33.02492,-68.95246,
"Cuyo, Argentina",CAVAS DE WEINERT,-32.98359,-68.8599,http://bodegaweinert.com/en-index.html
"Cuyo, Argentina",Riccitelli Wines,-33.03084,-68.95733,https://matiasriccitelli.com/
"Cuyo, Argentina",Bodega de Espumantes Piedras 202,-32.96644,-68.87025,https://www.bodegapiedras202.com.ar/
"Cuyo, Argentina",CAVAS ROSSEL BOHER,-32.99447,-68.87815,https://www.rosellboher.com/
"Cuyo, Argentina",BODEGA AMALIA,-32.96911,-68.85429,http://amalia.com.ar/
"Cuyo, Argentina",Cantina Besares,-32.98083,-68.86573,
"Cuyo, Argentina",Bodega Krontiras,-33.06745,-68.84441,https://www.krontiraswines.com/
"Cuyo, Argentina",Bodega Caelum,-33.08957,-68.94331,
"Cuyo, Argentina",Bodega Bressia,-33.1091,-68.89794,http://www.bressiabodega.com/
"Cuyo, Argentina",Bodega Chakana,-33.17964,-68.91314,
"Cuyo, Argentina",Bodegas San Huberto,-33.0202,-68.90856,http://www.bodegassanhuberto.com.ar
"Cuyo, Argentina","Bodega Familia Adrover, Lujan de Cuyo, Mendoza",-33.05572,-68.88238,http://www.bodegaadrover.com/
"Cuyo, Argentina",DURIGUTTI FAMILY WINEMAKERS - FINCA VICTORIA,-33.02436,-68.95143,http://www.durigutti.com/
"Cuyo, Argentina",Bodega DE ANGELES Old Vines Vistalba Viña 1924,-33.03318,-68.8997,http://www.malbecdeangeles.com/
"Cuyo, Argentina",Bodega A16,-33.09176,-68.91442,http://www.a16sa.com.ar/
"Cuyo, Argentina",Finca Iral,-33.19504,-68.92777,https://fincairal.com/
"Cuyo, Argentina",Viña Doña Paula,-33.25117,-68.94094,http://www.donapaula.com/
"Cuyo, Argentina",Cheval Des Andes,-33.03686,-68.9569,http://www.chevaldesandes.com.ar/
"Cuyo, Argentina",Bodega Mastroeni,-33.01559,-68.85385,https://mastroeniwines.com/
"Cuyo, Argentina",Bodega Fabre S.A.,-33.08843,-68.87735,http://www.bodegasfabre.com/
"Cuyo, Argentina",Viña Las Perdices,-33.11443,-68.9426,http://www.lasperdices.com/
"Cuyo, Argentina",Finca Bandini,-33.04642,-68.95949,https://fincabandini.com/
"Cuyo, Argentina",Vinificadora Aconcagua,-33.0755,-68.92101,
"Maipú, Argentina",Bodegas López,-32.96262,-68.78419,http://www.bodegaslopez.com.ar/
"Maipú, Argentina",Bodega Trapiche,-32.97309,-68.74531,http://www.trapiche.com.ar/
"Maipú, Argentina",Bodega - Alandes,-32.96563,-68.74164,http://www.karimmussi.com/
"Maipú, Argentina",Bodega Argentia,-32.96503,-68.77956,http://bodegaargentia.com.ar/
"Maipú, Argentina",Bodega Domiciano,-32.94661,-68.75124,http://www.instagram.com/bodegadomiciano
"Maipú, Argentina",Mendel Wines,-33.02706,-68.85401,http://www.mendel.com.ar/
"Maipú, Argentina",Cecchin Family Winery,-33.00782,-68.80428,https://www.bodegacecchin.com.ar/
"Maipú, Argentina",Bodega Viña el Cerno,-33.00241,-68.74994,http://elcerno.com.ar/
"Maipú, Argentina",Bodega Tempus Alba,-33.00188,-68.75141,http://www.tempusalba.com/
"Maipú, Argentina",Antigal Winery & Estates,-33.0067,-68.80815,http://www.antigal.com/
"Maipú, Argentina",Bodegas Baudron,-32.98555,-68.78077,
"Maipú, Argentina",Vistandes Winery & Lodge,-33.02476,-68.75852,http://vistandes.com/
"Maipú, Argentina",Bodega La Rural - Museo del Vino San Felipe,-32.9566,-68.74477,http://www.bodegalarural.com.ar/
"Maipú, Argentina",Espacio Trapiche,-32.97233,-68.74659,http://www.trapiche.com.ar/
"Maipú, Argentina",Bodega MEVI,-33.00392,-68.74087,http://bodegamevi.com.ar/
"Maipú, Argentina",Catapano Wines,-33.01386,-68.8068,http://www.catapanowines.com/
"Maipú, Argentina",BODEGA 1870 ESENCIA,-33.01627,-68.75905,
"Maipú, Argentina",Bodega Finca Savina,-33.03969,-68.80633,https://www.bodegafincasavina.com/
"Maipú, Argentina",CONALBI GRINBERG Casa Vinicola,-33.0006,-68.80454,http://www.conalbigrinberg.com/
"Maipú, Argentina",Bodega Antigal SA,-33.00663,-68.8091,http://www.antigal.com/
"Maipú, Argentina",Bodega Familia Cassone,-33.02419,-68.85263,http://www.familiacassone.com.ar/
"Maipú, Argentina",Bodega Santa Julia (Zuccardi),-32.96977,-68.56671,http://www.santajulia.com.ar/
"Maipú, Argentina",Bodega Finca Agostino - Winery,-33.1039,-68.67099,http://www.agostinowinegroup.com/
"Maipú, Argentina",Bodega El Enemigo,-33.04443,-68.72412,https://universovigil.com/
"Maipú, Argentina",Otero Ramos Family Winery,-33.00624,-68.83649,http://www.oteroramoswinery.com/
"Maipú, Argentina",Bodega Florio,-33.03158,-68.77732,http://www.bodegaflorio.com.ar/
"Maipú, Argentina",Fecovita Casa Matriz,-32.95731,-68.78584,http://fecovita.com/
"Maipú, Argentina",Bodega Nieto Senetiner,-32.99075,-68.8268,http://www.nietosenetiner.com.ar/
"Maipú, Argentina",Gauchezco,-33.06987,-68.75416,https://gauchezco.com/
"Maipú, Argentina",Martino Wines,-33.02306,-68.85275,http://www.martinowines.com.ar/
"Maipú, Argentina",Bodega Atilio Avena,-33.01487,-68.74017,https://atilioavena.com/wine/
"Maipú, Argentina",Bodega CarinaE,-33.03354,-68.76973,https://linktr.ee/bodegaCarinae
"Maipú, Argentina",Bodega Don Bosco,-32.99279,-68.6816,http://bodegadonbosco.com.ar/
"Maipú, Argentina",Winery and Vineyards Stocco Viani,-33.03021,-68.79755,http://www.stoccodeviani.com.ar/
"Maipú, Argentina",Bodega Ricardo Santos,-33.00887,-68.81278,https://ricardosantos.com/
"Maipú, Argentina",BODEGA ZEMLIA,-32.98901,-68.7731,http://www.bodegazemlia.com/
"Maipú, Argentina",RPB S.A. - Bodega Viejo Viñedo,-32.94854,-68.73083,http://www.rpbwines.com.ar/
"Maipú, Argentina",TRIVENTO,-33.02035,-68.77369,
"Maipú, Argentina",Bodegas Y Viñedos Familia Perulan,-32.95637,-68.76219,
"Maipú, Argentina",Bodega Argento,-33.03942,-68.77843,https://bodegaargento.com/
"Maipú, Argentina",Cava don tulio,-32.97869,-68.82831,http://instagram.com/cavadontulio
"Maipú, Argentina",Finca La Cayetana - Ver Sacrum Wines,-33.01897,-68.83145,
"Maipú, Argentina",Bodega Don Manuel Villafañe,-33.03847,-68.69342,http://www.dmvwines.com/
"Maipú, Argentina",Bodega SinFin,-32.97092,-68.70339,https://www.bodegasinfin.com/bodega-2/
"Maipú, Argentina",Bodega Bombal,-33.04141,-68.81849,https://bodegabombal.com/
"Maipú, Argentina",Bodega La Iride,-33.01962,-68.7278,http://www.lairide.com/
"Maipú, Argentina",Bodega Eclipse,-32.96097,-68.75515,http://www.bodegaeclipse.com.ar/
"Maipú, Argentina",Finca El Paraíso - Bodega Luigi Bosca,-33.04994,-68.68027,https://luigibosca.com/experiencias
"Maipú, Argentina","Bodega Artesanal ""Familia Rodriguez""",-32.99836,-68.69069,
"Godoy Cruz, Argentina",Bodegas CARO SA,-32.91257,-68.84304,https://www.lafite.com/fr/les-domaines/bodegas-caro/
"Godoy Cruz, Argentina",Sposato Family Vineyards Argentina,-32.94997,-68.83513,https://sposatowines.com.ar/
"Godoy Cruz, Argentina",Bodega Escorihuela Gascón,-32.91248,-68.84307,http://www.escorihuelagascon.com.ar/
"Godoy Cruz, Argentina",CASA TANO Bodega Artesanal,-32.93887,-68.84752,https://instagram.com/casa_tano?igshid=ZWQyN2ExYTkwZQ==
"Godoy Cruz, Argentina",Bodega Navarro Correas,-32.92383,-68.81794,http://www.navarrocorreas.com/
"Godoy Cruz, Argentina",Vinería VIEJA BODEGA,-32.91117,-68.87329,
"Godoy Cruz, Argentina",Bodega San Telmo,-32.92911,-68.82535,http://bodegasantelmo.com.ar/
"Godoy Cruz, Argentina",Bodega Vintage,-32.94998,-68.83522,
"Godoy Cruz, Argentina",DIAGEO,-32.92716,-68.81884,http://www.navarrocorreas.com/
"Godoy Cruz, Argentina",Cuatro Fincas winery,-32.91868,-68.84961,https://cuatrofincaswinery.com/contacto/
"Godoy Cruz, Argentina",VINERIA PORRAS,-32.91718,-68.85959,
"Godoy Cruz, Argentina",Andes Growers,-32.90938,-68.84128,https://andesgrowers.com/
"Godoy Cruz, Argentina",LoboNegro Wines,-32.95422,-68.85794,
"Godoy Cruz, Argentina",Pulenta Estate - Oficinas Administrativas,-32.95465,-68.85732,http://www.pulentaestate.com/
"Godoy Cruz, Argentina",Fraccionamiento móvil de vinos y Bag in Box | VINITEC,-32.94181,-68.82881,https://vinitec.com.ar/
"Godoy Cruz, Argentina",Bodega Reginato,-32.9252,-68.81395,
"San Carlos, Argentina",Del Yaucha. VINO ARTESANAL,-33.70528,-69.07714,https://delyaucha.mitiendanube.com/
"San Carlos, Argentina",Restaurante Fatto in Casa by BODEGA GRAZIE MILLE,-33.72667,-69.10697,http://www.vinosgraziemille.com/
"San Carlos, Argentina",Bodega Altocedro,-33.72916,-69.12875,https://karimmussi.com/
"San Carlos, Argentina",Cooperativa Vitivinicola San Carlos Sud Ltda,-33.73031,-69.11549,http://www.sancarlossud.com/
"San Carlos, Argentina",Vinos Appon,-33.74917,-69.11186,
"San Carlos, Argentina",Los Noques Winery,-33.71393,-69.11357,http://losnoques.com/
"San Carlos, Argentina",Bodega Alfa Crux,-33.80294,-69.11829,https://www.instagram.com/alfacruxwines
"San Carlos, Argentina",Terracota Wineland,-33.7487,-69.11701,
"San Carlos, Argentina",Fapes Bodega & Viñedo,-33.72925,-69.11444,
"San Carlos, Argentina",Bodega La Celia,-33.77975,-69.07073,
"San Carlos, Argentina",Bodega artesanal y agroecológica De La Tierrita,-33.78058,-69.05529,
"San Carlos, Argentina",Delator de Sueños,-33.76702,-69.04871,
"San Carlos, Argentina",Finca El Yaima - Bodegas Chandon,-33.78349,-69.06929,
"San Carlos, Argentina",ALTO REAL VIÑEDOS SA San Carlos Mendoza,-33.76407,-69.038,
"San Carlos, Argentina",bodega luna austral,-33.77029,-69.08597,
"San Carlos, Argentina",BODEGA PRODUMEN BOTELLAS- SAN CARLOS,-33.73852,-69.07116,
"San Carlos, Argentina",Viñedos Don Juan,-33.79358,-69.08012,
"San Carlos, Argentina",Bodega Alonso Guerrero,-33.8184,-69.13808,https://shopalonsoguerrerowines.com/
"San Carlos, Argentina",Don Bosco Eugenio Bustos,-33.77549,-69.06126,
"San Carlos, Argentina",Bonetto Fratelli,-33.71447,-69.1158,
"San Carlos, Argentina",Bodega Dal Borgo,-26.01697,-65.977,https://wineobs.com.ar/mro/bodega-dal-borgo
"San Carlos, Argentina",Bodega El Cese,-25.6277,-66.17101,
"San Carlos, Argentina",Bodega Que tal,-25.68767,-66.16841,
"San Carlos, Argentina",Finca Altamira,-33.75451,-69.12321,
"San Carlos, Argentina",ALTAMIRA ESPERANZA SAS,-33.81915,-69.19608,
"San Carlos, Argentina",Jardín de Hormigas - Altos Las Hormigas,-33.79092,-69.16979,https://www.altoslashormigas.com/
"San Carlos, Argentina",Bodega Arca Yaco,-25.86447,-66.04386,
"Tunuyán, Argentina",Winery Black Stone (Lurton),-33.60915,-69.20391,https://linktr.ee/BPNlinktree
"Tunuyán, Argentina",CLAROSCURO BODEGA DE ARTE,-33.64373,-69.19212,https://bodegaclaroscuro.com.ar/
"Tunuyán, Argentina",Bodega Corazón Del Sol,-33.60125,-69.22876,http://www.corazondelsol.com/
"Tunuyán, Argentina",Clos de los Siete,-33.66702,-69.19425,https://www.closdelossiete.com/
"Tunuyán, Argentina",Bodega SuperUco,-33.6035,-69.2287,http://superuco.com/
"Tunuyán, Argentina",Bodega Gimenez Riili,-33.60372,-69.22026,http://www.gimenezriili.com/
"Tunuyán, Argentina",Bodega La Vigilia,-33.60408,-69.22468,https://bodegalavigilia.com/home
"Tunuyán, Argentina",Bodega Monteviejo,-33.66584,-69.23223,https://monteviejo.com.ar/
"Tunuyán, Argentina",Bodega Salentein,-33.49422,-69.24291,http://www.bodegasalentein.com/
"Tunuyán, Argentina",Magia De Uco,-33.61113,-69.18945,http://www.magiadeuco.com/
"Tunuyán, Argentina",Bodega Hinojosa,-33.56912,-69.01691,http://www.bodegahinojosa.com/
"Tunuyán, Argentina",Bodega Familia Zaina,-33.55397,-69.17818,
"Tunuyán, Argentina",Bodega DiamAndes,-33.66707,-69.1944,
"Tunuyán, Argentina",Cooperativa del Vino de Vista Flores,-33.6534,-69.15603,http://www.coopvistaflores.com.ar/
"Tunuyán, Argentina",Bodega BONORA VIÑEDOS,-33.65322,-69.14682,
"Tunuyán, Argentina",Viticola Los Parrales S.A.,-33.64623,-69.15363,
"Tunuyán, Argentina",Vinícola Los Parrales,-33.65224,-69.15713,
"Tunuyán, Argentina",Bodega Albaflor,-33.63764,-69.19199,http://www.albaflor.com.ar/
"Tunuyán, Argentina",Finca La Tranquila,-33.65287,-69.19308,
"Tunuyán, Argentina",FECOVITA,-33.66671,-69.1286,
"Tunuyán, Argentina",Bodegas Esmeralda (Vista Flores),-33.67071,-69.1614,http://www.bodegasesmeralda.com.ar/
"Tunuyán, Argentina",Finca de los Padrillos,-33.66762,-69.16847,http://www.instagram.com/fincadelospadrillos
"Tunuyán, Argentina",Bodega Garage EL VISTAFLORINO,-33.61001,-69.18154,
"Tunuyán, Argentina",Bodega J.C.Gaffner,-33.63549,-69.19362,
"Tunuyán, Argentina",Bodega Enzo Bianchi,-33.60749,-69.18102,http://www.bodegasbianchi.com.ar/
"Tunuyán, Argentina",Bodega Cuvelier Los Andes,-33.66608,-69.22236,http://cuvelierlosandes.com/
"Tunuyán, Argentina",Bodega Estancia Mendoza,-33.67823,-69.12537,http://estanciamendoza.com.ar/es/
"Tunuyán, Argentina",Winemaker Laureano Gomez,-33.58953,-69.07745,http://bodegagarage.com.ar/
"Tunuyán, Argentina",Bodega ALTOS DE ALTAMIRA,-33.63765,-69.19198,
"Tunuyán, Argentina",La Coste de los Andes,-33.59961,-69.27888,
"Tunuyán, Argentina",Bodega Rolland,-33.66617,-69.25872,http://www.bodegarolland.com/
"Tunuyán, Argentina",Bodega Flecha de los Andes,-33.66456,-69.24517,http://www.flechasdelosandes.com/
"Tunuyán, Argentina",Bodega The Vines,-33.58833,-69.20796,
"Tunuyán, Argentina",SoloContigo Winery,-33.60168,-69.2298,http://www.solocontigowines.com/
"Tunuyán, Argentina",Bodega Diamandes,-33.65901,-69.23625,
"Tunuyán, Argentina",Clos de Los Siete,-33.66991,-69.21821,
"Tunuyán, Argentina",vinyes ocults,-33.5421,-69.02942,
"Tunuyán, Argentina",Vinos de La Luz - Argentina,-33.5614,-69.1488,http://www.vinosdelaluz.com/
"Tunuyán, Argentina",Bodega Finca del Nunca Jamas,-33.60466,-69.12325,http://www.fincanuncajamas.com/
"Tunuyán, Argentina",Bodega y Viñedos Doña Elvira,-33.57443,-69.02,
"Tunuyán, Argentina",Pepper Tree Vineyards,-33.48987,-69.21507,
"Tunuyán, Argentina",Burman,-33.59226,-69.08218,
"Tunuyán, Argentina",Enrique Vollmer winery,-33.67303,-69.09124,
"Tunuyán, Argentina",Bodega Antucura,-33.66436,-69.13493,
"Tunuyán, Argentina",Bodega Siesta en el Tahuan,-33.66394,-69.16761,https://www.instagram.com/siestaeneltahuan/
"Tunuyán, Argentina",Bodega Portillo,-33.50082,-69.24053,
"Tunuyán, Argentina",Salentein winery and inn Salentin,-33.49409,-69.24288,http://www.bodegasalentein.com/es/posada/acerca.html
"Tunuyán, Argentina",Tapiz San Pablo,-33.47471,-69.27079,http://www.bodega-tapiz.com.ar/
"Tunuyán, Argentina",Bodega Boutique Pócima,-33.52421,-69.28493,
"Paraje Altamira, Argentina",Finca La Igriega,-33.74352,-69.15445,http://www.laigriegawines.com/
"Paraje Altamira, Argentina",Bodega Zuccardi Valle de Uco,-33.77236,-69.15663,http://www.zuccardiwines.com/
"Paraje Altamira, Argentina",TERRACOTA WINELAND,-33.74374,-69.12248,http://www.descendientewine.com/
"Paraje Altamira, Argentina",Finca Beth,-33.76057,-69.17791,
"Paraje Altamira, Argentina",BODEGA ARTESANAL LEMOS & SUAREZ.FINCA SEIS MANZANOS,-33.75778,-69.14018,https://instagram.com/bodegaartesanallemosysuarez?utm_medium=copy_link
"Paraje Altamira, Argentina","FINCA SUAREZ, PERICO",-33.76964,-69.14849,http://www.fincasuarez.com.ar/
"Paraje Altamira, Argentina",Finca Altamira Bodega Argento,-33.75694,-69.15569,https://bodegaargento.com/
"Paraje Altamira, Argentina",Finca Las Glicinas,-33.74111,-69.16264,http://www.fincalasglicinas.com/
"Paraje Altamira, Argentina",ROCAMADRE,-33.77131,-69.16965,http://www.rocamadre.com.ar/
"Paraje Altamira, Argentina",Finca Altamira - Furlotti,-33.74839,-69.17001,https://www.familiafurlotti.com/
"Tupungato, Argentina",Bodega La Azul,-33.46928,-69.22089,http://www.bodegalaazul.com/
"Tupungato, Argentina",Bodega DESQUICIADO,-33.35438,-69.14992,https://www.desquiciado.com/
"Tupungato, Argentina",Casa Andina de Vinos de Altura,-33.35439,-69.14985,https://instagram.com/casaandina.tupungato?igshid=MzRlODBiNWFlZA==
"Tupungato, Argentina",Vinoteca De Bodega Familiar Julio Cesar Coletto,-33.37606,-69.14479,
"Tupungato, Argentina",Bodega Picada de Tupungato,-33.35668,-69.14929,
"Tupungato, Argentina",Uruco Wines,-33.36563,-69.15509,http://www.urucowines.com/
"Tupungato, Argentina",Bodega Nonno Coletto,-33.36737,-69.14432,
"Tupungato, Argentina","Bodega Familia Furlan ""Tupungato""",-33.35644,-69.15019,http://www.familia-furlan.com/
"Tupungato, Argentina",Michelini i Mufatto Cantina,-33.38423,-69.13819,
"Tupungato, Argentina",Bodega del Tupun,-33.34846,-69.15068,
"Tupungato, Argentina",Domaine Bousquet,-33.43283,-69.19237,https://domainebousquet.com/
"Tupungato, Argentina",Bodega y Viñedos Antonio Pelegrina,-33.33795,-69.15465,
"Tupungato, Argentina",Bodega Y Viñedos La Riojana,-33.3378,-69.15592,
"Tupungato, Argentina",Oficina Delegada,-33.36548,-69.13422,
"Tupungato, Argentina",Bodega La Florita,-33.36005,-69.17228,http://www.laflorita.com/
"Tupungato, Argentina",Bodega Andeluna,-33.4555,-69.21215,http://www.andeluna.com.ar/
"Tupungato, Argentina",Bodega Paso a Paso Wines,-33.34797,-69.17642,https://pasoapasowines.com.ar/
"Tupungato, Argentina",Bodega Raffy Familia Zanchetta,-33.39184,-69.18293,https://bodega-raffy-zanchetta.com/
"Tupungato, Argentina",Huentala Wines,-33.39781,-69.24984,http://www.huentalawines.com/
"Tupungato, Argentina",Zorzal Wines,-33.42135,-69.2527,https://zorzalwines.com/
"Tupungato, Argentina",RUTINI WINES,-33.4523,-69.20876,http://www.rutiniwines.com/
"Tupungato, Argentina",Bodega Atamisque SA,-33.28119,-69.14331,http://bodegaatamisque.com/
"Tupungato, Argentina",Huentala Wines,-33.40962,-69.24848,http://www.huentalawines.com/
"Tupungato, Argentina",Finca Adelma vinos del alma,-33.46808,-69.21795,http://www.fincaadelma.com.ar/
"Tupungato, Argentina",Bodega Familia Giaquinta,-33.37597,-69.09798,http://www.familiagiaquinta.com/
"Tupungato, Argentina",Bodega Altus & Gualtallary,-33.38804,-69.19127,http://www.gualtallarywines.com/
"Tupungato, Argentina",Masi Tupungato,-33.38352,-69.06413,http://www.masitupungato.com/
"Tupungato, Argentina",Bodega Jean Bousquet,-33.43898,-69.1996,http://linktr.ee/BodegaJeanBousquet
"Tupungato, Argentina",Finca Ambrosia,-33.40018,-69.21037,http://www.fincaambrosia.com/
"Tupungato, Argentina",FINCA SOPHENIA,-33.46182,-69.21685,http://www.sophenia.com.ar/
"Tupungato, Argentina",Bodega Valle Escondido,-33.32936,-69.16409,
"Tupungato, Argentina",Bodega Don Carlos,-33.42144,-69.14298,http://www.fincadoncarlos.com/
"Tupungato, Argentina",Finca Blousson,-33.16324,-69.26521,https://www.fincablousson.com/
"Tupungato, Argentina",Alba en los Andes,-33.39964,-69.17124,https://www.albaenlosandes.com/
"Rivadavia, Argentina",Bodega Luis Segundo Correas Sa,-33.17074,-68.57801,
"Rivadavia, Argentina",Bodega Medrano Town,-33.17752,-68.61131,
"Rivadavia, Argentina",Bodega Merced del Estero,-31.53224,-68.63405,http://www.merceddelestero.com.ar/
