id,grape_name
345,Melnik
346,Sousão
347,Svatovavrinecke
348,Saint-macaire
349,Sumoll
350,Susumaniello
351,Tannat
352,Tarrango
353,Tazzelenghe
354,Tempranillo
355,Termarina Rossa
356,Teroldego Rotaliano
357,Terret Noir
358,Thiniatiko
359,Tibouren
360,Tinta Amarela
361,Tinta Barroca
362,Tinta Caiada
363,Tinta Francisca
364,Tinta Madeira
365,Tinta Miuda
366,Tinta Negra Mole
367,Tinto Cão
368,Touriga Franca
369,Touriga Nacional
370,Turán
371,Trepat
372,Trevisana Nera
373,Usakhelauri
374,Uva di Troia
375,Uvalino
376,Uva Rara
377,Uva Tosca
378,Valdiguié
379,Valentino Nero
380,Vermentino Nero
381,Vespolina
382,Vien de Nus
383,Volidza
384,Vranac
385,Vuillermin
386,Wrothham Pinot
387,Xinomavro
388,Žametovka
389,Zinfandel
390,Zweigeltrebe
391,Adalmiina
392,Addoraca
393,Agh Shani
394,Aidani
395,Airén
396,Alarijen
397,Albalonga
398,Albana
399,Albanella
400,Albanello Bianco
401,Albaranzeuli Bianco
402,Albarello
403,Albariño
404,Albarola
405,Albillo
406,Alcañón
407,Aligoté
408,Alionza
409,Altesse
410,Amigne
411,Ansonica
412,Antao Vaz
413,Arany Sárfehér
414,Arbane
415,Arbois
416,Arilla
417,Arinto
418,Arneis
419,Arrufiac
420,Arvesiniadu
421,Asprinio Bianco
422,Assyrtiko
423,Athiri
424,Aubin Blanc
425,Aubin Vert
426,Aurelius
427,Auxerrois Blanc
428,Avesso
429,Azal Branco
430,Barcelo
431,Baco Blanc
432,Baiyu
433,Balzac Blanc
434,Banat Riesling
435,Baratuciat
436,Barbera Bianca
437,Bariadorgia
438,Belina
439,Benedino
440,Besgano Bianco
441,Bia Blanc
442,Biancame
443,Bianchetta Trevigiana
444,Bianchetti Genovese
445,Bianco D'alessano
446,Biancolella
447,Biancu Gentile
448,Biancone di Portoferraio
449,Bical
450,Bigolona
451,Blatterle
452,Bratislavské Biele
453,Boais
454,Bogdanuša
455,Bombino Bianco
456,Borba Blanca
457,Bourboulenc
458,Bouvier
459,Breidecker
460,Brustiano Bianco
461,Budai Zöld
462,Bukettraube
463,Monbadon
464,Caíño Blanco
465,Camaralet
466,Canari Blanc
467,Caprettone
468,Carica L'asino
469,Carignan Blanc
470,Cascarolo Bianco
471,Catarratto
472,Cayetana
473,Chardonnay
474,Chasan
475,Chasselas
476,Chenel
477,Chenin Blanc
478,Clairette
479,Claret de Gers
480,Claverie
481,Cococciola
482,Cocur
483,Coda di Pecora
484,Coda di Volpe
485,Colombard
486,Completer
487,Cortese
488,Crato Bianco
489,Courbu
490,Criolla Grande
491,Crouchen
492,Pearl Of Csaba
493,Cserszegi Fűszeres
494,Cygne Blanc
495,Dattier
496,Debina
497,Diagalves
498,Dimiat
499,Dinka
500,Doña Blanca
501,Donzelinho Branco
502,Doradilla
503,Doradillo
504,Drupeggio
505,Durella
506,Ehrenfelser
507,Elbling
508,Emerald Riesling
509,Emir Karasi
510,Encruzado
511,Erbaluce
512,Esquitxagos
513,Escanyavella
514,Ezerjó
515,Faberrebe
516,Falanghina
517,Farana
518,Fernao Pires
519,Fetească Albă
520,Fetească Regală
521,Fiano di Avellino
522,Fiét
523,Findling
524,Fologosão
525,Folle Blanche
526,Forastera
527,Francavida
528,Francusa
529,Freisamer
530,Fromenteau
531,Furmint
532,Galego Dourado
533,Garganega
534,Grenache Blanc
535,Gewürztraminer
536,Girgentina
537,Giró Blanc
538,Godello
539,Goldburger
540,Goldriesling
541,Gouais Blanc
542,Plant de Graisse
543,Grasă de Cotnari
544,Grechetto
545,Greco Bianco
546,Green Hungarian
547,Grenache Gris
548,Grignolino
549,Rossese Bianco
550,Grk Bijeli
551,Grolleau Gris
552,Gros Manseng
553,Grüner Veltliner
554,Guardavalle
555,Gutenborner
556,Hárslevelű
557,Hondarrabi Zuri
558,Humagne Blanche
559,Huxelrebe
560,Incrocio Manzoni
561,Irsai Oliver
562,Jacquère
563,Jampal
564,Juhfark
565,Kanzler
566,Keknyelu
567,Kerner
568,Knipperle
569,Koshu
570,Karija L'osü
571,Krstač
572,Kujundžuša
573,Ladikino
574,Lagarino Bianco
575,Lagorthi
576,Lauzet
577,Len de L'elh
578,Loureira
579,Luglienga
580,Lumassina
581,Macabeo
582,Maceratino
583,Madeleine Angevine
584,Majarcă Albă
585,Malagousia
586,Malvar
587,Malvasia
588,Mantonico Bianco
589,Manteudo
590,Marsanne
591,Marzemina Bianca
592,Mauzac
593,Melon de Bourgogne
594,Merlot Blanc
595,Merseguera
596,Meslier St-françois
597,Mezesfehér
598,Minella Bianca
599,Miousap
600,Molette
601,Montonico Bianco
602,Montu
603,Morio-muskat
604,Moscatel Rosada
605,Moscato Giallo
606,Moschofilero
607,Mtsvane
608,Müller-thurgau
609,Muscadelle
610,Muscat
611,Moscatell
612,Muskateller
613,Muscat Ottonel
614,Neherleschol
615,Neuburger
616,Nobling
617,Nosiola
618,Nuragus
619,Ondenc
620,Oraniensteiner
621,Orion
622,Ortega
623,Ortrugo
624,Pagedebit
625,Pálava
626,Pallagrello Bianco
627,Palomino
628,Pampanuto
629,Parč
630,Pardillo
631,Parellada
632,Pascal Blanc
633,Passerina
634,Pecorello
635,Pedro Ximénez
636,Petit Courbu
637,Petit Manseng
638,Petit Meslier
639,Petite Arvine
640,Picardin
641,Picolit
642,Picpoul
643,Pigato
644,Pignerol
645,Pignoletto
646,Pinella
647,Pinot Blanc
648,Pinot Gris
649,Planta Fina
650,Planta Nova
651,Plavai
652,Pošip
653,Prensal
654,Prié Blanc
655,Prosecco
656,Prunesta
657,Rabigato
658,Rabo de Ovelha
659,Rauschling
660,Reichensteiner
661,Retagliado Bianco
662,Rèze
663,Ribolla Gialla
664,Johannisberg Riesling
665,Rieslaner
666,Robola
667,Roditis
668,Romorantin
669,Roter Veltliner
670,Rotgipfler
671,Roupeiro
672,Roussanne
673,Rovello Bianco
674,Sacy
675,Ste Marie
676,Saint-pierre Doré
677,Sarfeher
678,Sauvignon Blanc
679,Sauvignon Vert
680,Traminer
681,Savatiano
682,Scheurebe
683,Sémillon
684,Septiner
685,Sercial
686,Sereksia
687,Sideritis
688,Siegerrebe
689,Silvaner
690,Mátrai Muskotály
691,Smederevka
692,Souvignier Gris
693,Sumoll Blanc
694,Tamarêz
695,Tamîioasa
696,Taminga
697,Tempranillo Blanco
698,Téoulier
699,Terrantez
700,Terret Gris
701,Thrapsathiri
702,Timorasso
703,Tourbat
704,Trbljan
705,Trebbiano
706,Treixadura
707,Trousseau Gris
708,Tsaoussi
709,Tsolikauri
710,Verdea
711,Verdeca
712,Verdejo
713,Verdelho
714,Verdesse
715,Verdicchio
716,Verdiso
717,Verdoncho
718,Verduzzo
719,Verduzzo Trevigiano
720,Vermentino
721,Vernaccia
722,Vernaccia di Oristano
723,Veroga
724,Versoaln
725,Vespaiola
726,Vidiano
727,Vilana
728,Vinhao
729,Viognier
730,Viosinho
731,Malvasia Fina do Douro
732,Vitovska
733,Voskehat
734,Vugava
735,Weldra
736,Welschriesling
737,Würzer
738,Xarel·lo
739,Xynisteri
740,Zala Gyöngye
741,Zalema
742,Zefir
743,Zenit
744,Zengő
745,Zéta
746,Zierfandler
747,Žilavka
748,Žlahtina
749,Agdam Gyzyl Uzumu
750,Chablais Rose
751,Chardonnay Rose
752,Gray Riesling Rose
753,Red Rose
754,Zinfandel Rose
