continent,country,city,name,latitude,longitude,website,extra
AF,South Africa,Bonnievale,RiverGold,-33.93094,20.01372,http://rivergold.co.za/,
AF,South Africa,Bonnievale,Cape Wine Crafters,-33.94186,20.05252,https://capewinecrafters.com/,3;2;1;4;0;50;10
AF,South Africa,Bonnievale,Lucerne Vineyards,-33.96803,20.13873,http://www.lozarn.co.za/,
AF,South Africa,Bonnievale,Langverwacht Wynmakery BPK,-33.9586,20.02636,http://www.langverwachtwines.co.za/,
AF,South Africa,Bonnievale,Van Zylshof Estate,-33.93858,20.10654,,
AF,South Africa,Bonnievale,Janeza Winery,-33.95975,20.02759,http://www.janeza.co.za/,
AF,South Africa,Bot River,Beaumont Wines,-34.22396,19.20653,http://www.beaumont.co.za/,
AF,South Africa,Bot River,Arcangeli Wines,-34.23535,19.20886,http://www.arcangeliwines.com/,
AF,South Africa,Bot River,Beaumont Family Wines,-34.22567,19.20712,http://www.beaumont.co.za/,
AF,South Africa,Bot River,Wildekrans Wine Estate,-34.24032,19.19853,http://www.wildekrans.com/,
AF,South Africa,Bot River,Gabrielskloof Wine Estate,-34.23873,19.24959,http://www.gabrielskloof.co.za/,
AF,South Africa,Bot River,Die Seerowers | Lifestyle Wine,-34.26286,19.17707,http://www.villionwines.com/,
AF,South Africa,Bot River,Luddite Wine Farm,-34.21443,19.20704,https://luddite.co.za/,6;2;7;18;21;0;28;5;8
AF,South Africa,Bot River,Momento Wines,-34.26015,19.22178,http://momentowines.co.za/,
AF,South Africa,Bot River,Villion Wine Tasting,-34.26131,19.1749,,
AF,South Africa,Bot River,Anysbos,-34.25403,19.23809,https://anysbos.co.za/,
AF,South Africa,Bot River,Benguela Cove Lagoon Wine Estate,-34.34586,19.13473,https://www.benguelacove.co.za/,
AF,South Africa,Bot River,Benguela Cove Cellar Door,-34.34649,19.13438,https://www.benguelacove.co.za/cellar-door,3;6;2;9;1;18;14;67;4;0;5;42;8
AF,South Africa,Bot River,Barton Vineyards & Villas,-34.26491,19.18023,http://www.bartonvineyards.co.za/,
AF,South Africa,Bot River,Escape Wines,-34.3422,19.156,http://escwines.com/,
AF,South Africa,Bot River,Paardenkloof Estate Wines (Pty) Ltd,-34.26225,19.18392,http://www.paardenkloof.co.za/,
AF,South Africa,Bot River,PaardenKloof Wine Tasting Room at Ecology Lifestyle Farm,-34.26027,19.18343,http://www.paardenkloof.co.za/,
AF,South Africa,Bottelary,Devon Rocks Wines and B&B,-33.88869,18.80856,http://www.devonrocks.co.za/,
AF,South Africa,Bottelary,Goede Hoop Wine Estate,-33.90958,18.75536,http://www.goedehoop.co.za/,
AF,South Africa,Bottelary,Koopmanskloof Winery,-33.9002,18.76093,http://www.koopmanskloof.co.za/,
AF,South Africa,Bottelary,Groenland Wyne,-33.89668,18.73512,http://www.groenland.co.za/,
AF,South Africa,Bottelary,Mooiplaas Wine Estate and Private Nature Reserve,-33.92094,18.74012,http://www.mooiplaas.co.za/,
AF,South Africa,Bottelary,Fort Simon Wine Estate,-33.91961,18.75513,http://www.fortsimon.com/,
AF,South Africa,Bottelary,Hartenberg Wine Estate,-33.89807,18.792,https://hartenbergestate.com/,
AF,South Africa,Bottelary,Hazendal Wine Estate,-33.89895,18.71664,http://www.hazendal.co.za/,
AF,South Africa,Bottelary,Kaapzicht Wine Estate,-33.91334,18.73713,http://www.kaapzicht.co.za/,
AF,South Africa,Bottelary,Bellevue Wine Estate,-33.87822,18.7618,http://www.bellevue.co.za/,
AF,South Africa,Bottelary,Hazendal winery,-33.90035,18.72015,,
AF,South Africa,Bovlei,"Bosman Family Vineyards, Lelienfontein Farm, Wellington, South Africa",-33.62646,19.02459,http://www.bosmanwines.com/,
